City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,borovskoy,53.8,64.15,-23.9,100,85,2.56,KZ,1675819803
268,high prairie,55.4334,-116.4858,-7.22,93,100,0.73,CA,1675819804
269,nakapiripirit,1.9167,34.7833,19.74,49,6,2.15,UG,1675819804
270,asau,46.4333,26.4,-5.49,97,97,1.97,RO,1675819805
271,kautokeino,69.0125,23.0412,-4.62,78,33,9.34,NO,1675819805
272,staroutkinsk,57.2302,59.3348,-24.22,100,100,1.38,RU,1675819806
273,vao,-22.6667,167.4833,26.79,70,13,6.01,NC,1675819806
274,mariental,-24.6333,17.9667,21.76,71,91,1.48,NA,1675819806
275,kahului,20.8947,-156.47,27.01,73,40,9.26,US,1675819724
276,doctor cecilio baez,-25.05,-56.3167,26.51,42,99,2.53,PY,1675819807
277,macau,22.2006,113.5461,21.03,88,40,4.12,MO,1675819808
278,kununurra,-15.7667,128.7333,32.99,55,7,3.09,AU,1675819808
279,bandarbeyla,9.4942,50.8122,25.08,74,98,7.11,SO,1675819613
280,ixtapa,20.7,-105.2,22.57,73,0,4.12,MX,1675819809
281,tabora,-5.0167,32.8,18.1,91,100,0.68,TZ,1675819809
282,bud,39.447,-86.1758,10.73,75,100,2.91,US,1675819810
283,cam ranh,11.9214,109.1591,25.98,78,40,2.06,VN,1675819810
284,nantucket,41.2835,-70.0995,2.03,82,100,4.12,US,1675819663
285,kamaishi,39.2667,141.8833,2.92,78,100,3.57,JP,1675819811
286,katsuura,35.1333,140.3,10.27,71,98,8.08,JP,1675819811
287,elban,50.1018,136.5094,-18.77,79,90,0.63,RU,1675819812
288,souillac,-20.5167,57.5167,26.21,83,40,4.63,MU,1675819729
289,wuwei,37.9281,102.6414,-2.25,52,100,3.27,CN,1675819264
290,chicama,-7.8447,-79.1469,22.3,73,44,2.97,PE,1675819756
291,ust-kuyga,70.0167,135.6,-46.22,99,73,2.65,RU,1675819813
292,fortuna,40.5982,-124.1573,13.29,75,20,0.0,US,1675819813
293,zhigansk,66.7697,123.3711,-44.49,98,100,2.91,RU,1675819814
294,paita,-5.0892,-81.1144,24.05,83,69,3.48,PE,1675819814
295,daan,33.0558,106.2958,6.58,94,100,1.57,CN,1675819815
296,saskylakh,71.9167,114.0833,-33.91,100,100,0.32,RU,1675819815
297,port blair,11.6667,92.75,27.02,69,40,3.6,IN,1675819816
298,west melbourne,28.0717,-80.6534,21.63,78,75,3.09,US,1675819768
299,ferkessedougou,9.6,-5.2,27.5,43,100,2.07,CI,1675819816
300,egvekinot,66.3167,-179.1667,-29.49,87,87,3.78,RU,1675819810
301,talnakh,69.4865,88.3972,-22.06,98,100,3.39,RU,1675819817
302,amahai,-3.3333,128.9167,29.35,65,95,1.52,ID,1675819817
303,phuthaditjhaba,-28.5242,28.8158,14.89,95,100,2.06,ZA,1675819817
304,viedma,-40.8135,-62.9967,19.38,69,11,4.41,AR,1675819619
305,pavlodar,52.3,76.95,-19.11,78,75,1.0,KZ,1675819818
306,vila velha,-20.3297,-40.2925,26.97,90,75,3.6,BR,1675819776
307,sistranda,63.7256,8.834,2.98,78,100,5.16,NO,1675819818
308,fare,-16.7,-151.0167,27.07,70,9,4.69,PF,1675819819
309,noumea,-22.2763,166.4572,31.99,99,95,4.46,NC,1675819545
310,kavaratti,10.5669,72.642,26.52,71,97,5.15,IN,1675819820
311,sile,41.1754,29.6133,4.76,57,90,3.58,TR,1675819820
312,isangel,-19.55,169.2667,26.84,82,100,2.08,VU,1675819738
313,jibuti,11.5,42.5,19.42,84,14,3.74,DJ,1675819820
314,riyadh,24.6877,46.7219,13.08,41,17,2.58,SA,1675819602
315,carinhanha,-14.3047,-43.765,23.6,56,9,1.21,BR,1675819615
316,panjab,34.388,67.0233,-9.02,76,100,1.56,AF,1675819257
317,avera,33.194,-82.5271,11.73,57,96,1.67,US,1675819821
318,olafsvik,64.8945,-23.7142,-2.35,57,100,12.84,IS,1675819259
319,barela,23.1,80.05,14.72,42,0,0.52,IN,1675819822
320,oranjemund,-28.55,16.4333,17.42,89,98,7.84,NA,1675819822
321,rundu,-17.9333,19.7667,17.88,94,100,1.6,NA,1675819823
322,sarkand,45.41,79.9186,-7.11,63,42,3.91,KZ,1675819823
323,luganville,-15.5333,167.1667,29.6,69,100,3.24,VU,1675819824
324,maragogi,-9.0122,-35.2225,24.9,71,100,2.75,BR,1675819824
325,wuchang,44.9143,127.15,-12.71,86,63,3.77,CN,1675819824
326,kuandian,40.7286,124.7847,-2.56,29,0,1.94,CN,1675819825
327,susuman,62.7833,148.1667,-32.18,94,99,0.65,RU,1675819825
328,marzuq,14.4,46.4667,16.48,56,5,2.11,YE,1675819710
329,zeya,53.75,127.2667,-25.4,84,16,0.52,RU,1675819826
330,northam,51.0333,-4.2167,3.67,93,0,2.7,GB,1675819682
331,lompoc,34.6391,-120.4579,17.1,80,40,3.09,US,1675819706
332,bilma,18.6853,12.9164,19.43,21,100,2.95,NE,1675819826
333,stepantsevo,56.1314,41.7032,-15.19,99,100,2.66,RU,1675819827
334,alamosa,37.4695,-105.87,0.99,19,0,0.0,US,1675819827
335,kayes,14.0,-11.0,25.75,14,53,4.28,ML,1675819828
336,rafaela,-31.2503,-61.4867,30.56,31,0,3.25,AR,1675819828
337,tawau,4.2498,117.8871,25.07,86,99,1.13,MY,1675819828
338,harper,4.375,-7.7169,26.04,85,100,3.13,LR,1675819829
339,nikolskoye,59.7035,30.7861,-1.06,86,100,4.5,RU,1675819829
340,san jeronimo,-11.9472,-75.2829,10.29,79,72,1.15,PE,1675819830
341,kutum,14.2,24.6667,12.7,34,9,4.72,SD,1675819555
342,sheoganj,25.15,73.0667,14.57,25,0,1.37,IN,1675819830
343,seguin,29.5688,-97.9647,21.51,91,100,5.14,US,1675819724
344,lokosovo,61.1333,74.8167,-28.77,100,71,2.04,RU,1675819831
345,thinadhoo,0.5333,72.9333,27.09,73,41,2.93,MV,1675819831
346,arkhara,49.4212,130.0842,-24.1,85,76,1.26,RU,1675819832
347,kaoma,-14.7833,24.8,16.86,99,98,1.82,ZM,1675819832
348,tessalit,20.1986,1.0114,20.9,14,68,3.71,ML,1675819832
349,sunrise manor,36.2111,-115.0731,15.08,26,0,2.57,US,1675819833
350,comodoro rivadavia,-45.8667,-67.5,20.92,32,0,1.54,AR,1675819748
